"name","brand","ean","price","grammage","category","sale","image"
"Glade Duftstecker Nachfüller Sensual Sandalwood & Jasmine 20ml","Glade","5000204333107","4.29","20ml (1 l = 214,50 €)","Haus & Freizeit","False","https://img.rewe-static.de/8314978/43313867_digital-image.png"
"Falken Ordner 80mm schwarz","Falken","4014481198015","3.29","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7793023/42909234_digital-image.png"
"Vivess Lineal 16cm","Vivess","4388844191099","0.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2498968/24482241_digital-image.png"
"Craze Magic Slime 75ml","Craze","4059779057599","2.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9053253/43747744_digital-image.png"
"REWE Eiskauftüte Tiefkühltüte","REWE","4388860219371","0.69","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7291882/28596319_digital-image.png"
"Tesa Tesafilm Kristallklar 2x10m","Tesa","4042448043566","3.49","2x10m (1 m  = 0,17 €)","Haus & Freizeit","False","https://img.rewe-static.de/7951639/1227370_digital-image.png"
"Pilot Frixion Ball Blister blau 0,7mm","Pilot Pen","3131910637677","2.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0959542/29944451_digital-image.png"
"Duracell DL/CR 2032 Lithium 3V, 2er","Duracell","5000394203921","7.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7140954/29350929_digital-image.png"
"Glade Duftstecker Nachfüller Relaxing Zen 20ml","Glade","5000204332896","4.29","20ml (1 l = 214,50 €)","Haus & Freizeit","False","https://img.rewe-static.de/8315791/39807439_digital-image.png"
"Frosch Oase Raumerfrischer Lavendel Nachfüllpack 90ml","Frosch","4001499914607","3.49","90ml (1 l = 38,78 €)","Haus & Freizeit","False","https://img.rewe-static.de/1459298/20640057_digital-image.png"
"Air Wick Automatisches Duftspray Freshmatic Max Nachfüller Cotton & Weißer Flieder 2x250ml","Air Wick","4251758415660","8.95","2x250ml (1 l = 17,90 €)","Haus & Freizeit","False","https://img.rewe-static.de/8913905/45381888_digital-image.png"
"Raid Essentials Mückenabwehr 300ml","Raid","5000204343540","4.99","300ml (1 l = 16,63 €)","Haus & Freizeit","False","https://img.rewe-static.de/9051315/43644860_digital-image.png"
"Dino Skelett im Ei ab 3 Jahren","NA","4006592080211","2.99","12 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8864029/41898926_digital-image.png"
"Geschenktasche mit Motiv Happy Birthday 23cm x 19cm x 9cm","NA","4046369618858","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9943327/49039120_digital-image.png"
"Lego Minifigur 9 Teile Überraschungspaket 1 Stück","Lego","5702017784786","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9914279/50851684_digital-image.png"
"Sonnenblumen 1 Stück","NA","4011261059207","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/1571516/36067212_digital-image.png"
"Air Wick Automatisches Duftspray Freshmatic Max Nachfüller Citrus 250ml","Air Wick","4251758415608","4.99","250ml (1 l = 19,96 €)","Haus & Freizeit","False","https://img.rewe-static.de/0386361/9678550_digital-image.png"
"REWE Karton","REWE","4044616054831","1.29","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2188326/24548431_digital-image.png"
"REWE Beste Wahl Stimmmungsduft Bourbon Vanilla 90ml","REWE Beste Wahl","4337256753524","3.99","90ml (1 l = 44,33 €)","Haus & Freizeit","False","https://img.rewe-static.de/7618333/43333780_digital-image.png"
"Vivess Reißnägel 200 Stück weiß","Vivess","4388858914158","1.99","NA","Haus & Freizeit","False","https://img.rewe-static.de/1042897/20643343_digital-image.png"
"Glade Duftkerze Indulging Honey & Chocolate 112g","Glade","5000204356656","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9101057/46197429_digital-image.png"
"UHU Stic Klebestift 8,2g","Uhu","4026700451603","1.49","8,20g","Haus & Freizeit","False","https://img.rewe-static.de/3971775/23984288_digital-image.png"
"Glade Duftstecker 1 Stück","Glade","5000204332322","1.29","0,10ml","Haus & Freizeit","False","https://img.rewe-static.de/9060916/43760483_digital-image.png"
"HP Home & Office Kopierpapier A4 500 Blatt","HP","3141725001440","6.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/5491339/9240840_digital-image.png"
"Nexa Lotte Fruchtfliegenfalle 1 Stück","Nexa Lotte","4062700437216","3.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7688727/41166649_digital-image.png"
"VARTA Batterien High-Energy AA 4 Stück","Varta","4008496559435","5.99","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/3561429/12157380_digital-image.png"
"Luftballons bunt 100 Stück","NA","9557869022519","4.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8485766/32412004_digital-image.png"
"Calibrachoa Pink Paradise Petunie 1 Stück","NA","4388860099997","2.29","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2354666/29078191_digital-image.png"
"Geschenktasche im Flaschenformat","NA","4046369618933","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/9943638/49039109_digital-image.png"
"Pattex Alleskleber Repair Extreme 8g","Pattex","4015000406505","3.99","8g","Haus & Freizeit","False","https://img.rewe-static.de/0171089/25961784_digital-image.png"
"Vivess Heftklammern Gr. 24/6 2000 Stück","Vivess","4337256121774","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7966258/32131986_digital-image.png"
"Packschnur Doppelpackung 50m","NA","40663128","1.99","2x50m (1 m = 0,02 €)","Haus & Freizeit","False","https://img.rewe-static.de/6366287/31500774_digital-image.png"
"Duracell Lithium Knopfzellen DL/CR 2025","Duracell","5000394203907","7.99","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7140246/29351358_digital-image.png"
"Einweg-Grill 1 Stück","NA","4004216000805","2.99","606g (1 kg = 4,93 €)","Haus & Freizeit","False","https://img.rewe-static.de/3505863/3947940_digital-image.png"
"Schleich Wildlife Überraschungstüte","Schleich","4055744041020","4.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7784975/42971493_digital-image.png"
"Vivess Büroklammern bunt 100 Stück","Vivess","4388858914165","1.99","NA","Haus & Freizeit","False","https://img.rewe-static.de/1042140/24482238_digital-image.png"
"Glade Touch & Fresh Minispray Nachfüller Sensual Sandalwood & Jasmine","Glade","5000204078329","2.29","10ml (1 l = 229 €)","Haus & Freizeit","False","https://img.rewe-static.de/8278891/29117498_digital-image.png"
"Bic Feuerzeug Electronic 2 Stück","Bic","3086126788524","2.79","2 Stück","Haus & Freizeit","False","https://img.rewe-static.de/0355060/23322157_digital-image.png"
